#Wave	#Intensity
2109.007813	2098.82373
2107.496094	2115.363037
2105.984375	2075.219971
2104.470703	2121.061035
2102.958984	2138.783936
2101.445313	2105.271729
2099.933594	2185.771484
2098.419922	2101.058838
2096.90625	2158.404785
2095.390625	2152.985596
2093.876953	2053.47876
2092.361328	2090.993652
2090.845703	2059.192627
2089.332031	2052.150146
2087.814453	2130.873291
2086.298828	2095.786377
2084.783203	2128.306152
2083.265625	2056.974365
2081.748047	2109.262939
2080.230469	2087.391113
2078.712891	2017.761353
2077.195313	2104.607178
2075.677734	2123.911621
2074.158203	2057.611328
2072.638672	2070.334473
2071.119141	2102.796875
2069.599609	2095.764893
2068.080078	2134.786621
2066.560547	2047.178833
2065.039063	2092.77002
2063.517578	2156.421387
2061.996094	2101.730713
2060.474609	2134.137695
2058.953125	2122.181641
2057.429688	2139.790527
2055.908203	2124.554688
2054.384766	2114.25
2052.861328	2163.031006
2051.337891	2136.314453
2049.814453	2089.924072
2048.289063	2161.640137
2046.765625	2100.506592
2045.240234	2145.959473
2043.714844	2061.908936
2042.189453	2041.803101
2040.664063	2072.494385
2039.136719	2096.620361
2037.609375	2076.52002
2036.083984	2121.919678
2034.556641	2119.828613
2033.029297	2062.094971
2031.5	2078.016113
2029.972656	2095.56665
2028.443359	2049.32373
2026.914063	2145.361572
2025.386719	2030.4646
2023.855469	2123.196289
2022.326172	2093.328369
2020.796875	2050.402832
2019.265625	2103.868408
2017.734375	2136.081055
2016.203125	2099.704834
2014.671875	2073.138184
2013.140625	2074.327881
2011.607422	2085.307129
2010.076172	2094.650391
2008.542969	2094.203613
2007.009766	2066.035889
2005.476563	2135.698486
2003.943359	2203.701416
2002.408203	2152.713867
2000.875	2065.904297
1999.339844	2063.834961
1997.804688	2175.766602
1996.269531	2053.186523
1994.732422	2080.423096
1993.197266	2063.704834
1991.660156	2082.791504
1990.123047	2031.916382
1988.585938	2036.363281
1987.048828	2087.966553
1985.511719	2107.031738
1983.972656	1971.671021
1982.435547	2046.00647
1980.896484	2035.822754
1979.357422	2063.004883
1977.818359	2080.430908
1976.279297	2034.524292
1974.738281	2079.546387
1973.197266	2030.413452
1971.658203	2132.211182
1970.117188	2073.35376
1968.576172	2128.061279
1967.033203	2065.986328
1965.492188	2141.749023
1963.949219	2047.278198
1962.40625	2041.981567
1960.863281	2065.852051
1959.320313	2075.133057
1957.777344	2095.747314
1956.232422	2121.210449
1954.689453	2044.671753
1953.144531	2084.701904
1951.599609	2103.677979
1950.054688	2096.760254
1948.507813	2120.578369
1946.962891	2076.4646
1945.416016	2053.388428
1943.869141	2146.709961
1942.322266	2081.608398
1940.775391	2055.314209
1939.228516	2069.417725
1937.679688	2044.752075
1936.132813	2112.139648
1934.583984	2068.102051
1933.035156	2085.418945
1931.486328	2055.929443
1929.935547	2066.787842
1928.386719	2096.998291
1926.835938	2141.710693
1925.285156	2059.024902
1923.734375	2029.572021
1922.183594	2153.243896
1920.632813	2104.446777
1919.080078	2108.834229
1917.527344	2074.563477
1915.976563	2048.358643
1914.423828	2025.38501
1912.869141	2082.904053
1911.316406	2021.309082
1909.761719	2040.189087
1908.208984	2020.453613
1906.654297	2048.975586
1905.099609	2066.229492
1903.544922	2048.108643
1901.988281	2058.92627
1900.433594	2100.270996
1898.876953	2024.31665
1897.320313	1999.794556
1895.763672	2042.731445
1894.207031	2006.976685
1892.648438	2061.130371
1891.091797	2028.596558
1889.533203	2063.468018
1887.974609	2087.094971
1886.416016	2081.842041
1884.857422	2050.93457
1883.298828	2129.058105
1881.738281	1992.36438
1880.177734	2073.672119
1878.617188	2079.642578
1877.056641	2130.462402
1875.496094	2067.552979
1873.935547	2038.294922
1872.373047	2068.280029
1870.810547	2019.828125
1869.248047	2022.601563
1867.685547	2121.363037
1866.123047	2034.542725
1864.560547	1992.535156
1862.996094	2062.46167
1861.431641	1964.519287
1859.867188	2018.440796
1858.302734	2113.88208
1856.738281	2092.668457
1855.171875	2119.377441
1853.607422	2082.203857
1852.041016	2045.045776
1850.474609	2079.728271
1848.908203	2068.118408
1847.341797	2021.414063
1845.773438	2032.152832
1844.207031	2028.534058
1842.638672	2069.560791
1841.070313	2040.430054
1839.501953	2110.124023
1837.931641	2065.062988
1836.363281	2039.137573
1834.792969	2083.303711
1833.222656	2055.792969
1831.652344	2031.477661
