#Wave	#Intensity
2109.007813	3289.645752
2107.496094	3311.146729
2105.984375	3264.130859
2104.470703	3314.674316
2102.958984	3361.890625
2101.445313	3286.802002
2099.933594	3251.397217
2098.419922	3265.560791
2096.90625	3317.701172
2095.390625	3298.823242
2093.876953	3212.274414
2092.361328	3236.33667
2090.845703	3314.838379
2089.332031	3284.429932
2087.814453	3288.669678
2086.298828	3362.162598
2084.783203	3264.172119
2083.265625	3263.468994
2081.748047	3244.639648
2080.230469	3275.243408
2078.712891	3269.596924
2077.195313	3277.127197
2075.677734	3264.896973
2074.158203	3221.39624
2072.638672	3248.680664
2071.119141	3279.244385
2069.599609	3214.383301
2068.080078	3271.256104
2066.560547	3296.862305
2065.039063	3195.871826
2063.517578	3270.791748
2061.996094	3316.100586
2060.474609	3254.601074
2058.953125	3268.685547
2057.429688	3323.818848
2055.908203	3218.027344
2054.384766	3327.317383
2052.861328	3279.010498
2051.337891	3301.278564
2049.814453	3354.705566
2048.289063	3244.100342
2046.765625	3208.970703
2045.240234	3298.449463
2043.714844	3160.063721
2042.189453	3195.438232
2040.664063	3181.647217
2039.136719	3179.328125
2037.609375	3211.400391
2036.083984	3259.831787
2034.556641	3270.592773
2033.029297	3214.249512
2031.5	3211.925781
2029.972656	3273.402588
2028.443359	3192.561523
2026.914063	3157.540283
2025.386719	3223.893799
2023.855469	3203.591064
2022.326172	3279.711182
2020.796875	3254.503906
2019.265625	3217.873291
2017.734375	3238.416504
2016.203125	3211.601318
2014.671875	3269.681885
2013.140625	3216.758789
2011.607422	3255.233154
2010.076172	3203.966797
2008.542969	3183.711426
2007.009766	3289.024902
2005.476563	3183.984131
2003.943359	3136.036621
2002.408203	3221.737549
2000.875	3271.558105
1999.339844	3182.899658
1997.804688	3258.76416
1996.269531	3222.249023
1994.732422	3206.911865
1993.197266	3248.544678
1991.660156	3200.664795
1990.123047	3217.878662
1988.585938	3267.61499
1987.048828	3188.864746
1985.511719	3131.283203
1983.972656	3187.507813
1982.435547	3165.703369
1980.896484	3207.273682
1979.357422	3152.986084
1977.818359	3199.413574
1976.279297	3232.831543
1974.738281	3136.36499
1973.197266	3221.719238
1971.658203	3175.599121
1970.117188	3207.371338
1968.576172	3205.067871
1967.033203	3186.548828
1965.492188	3275.043945
1963.949219	3196.541992
1962.40625	3284.997314
1960.863281	3157.918213
1959.320313	3178.306885
1957.777344	3172.773438
1956.232422	3209.342773
1954.689453	3130.954346
1953.144531	3167.516602
1951.599609	3270.4104
1950.054688	3158.083496
1948.507813	3178.441406
1946.962891	3140.572021
1945.416016	3217.51416
1943.869141	3171.569824
1942.322266	3242.008301
1940.775391	3254.247314
1939.228516	3237.402832
1937.679688	3256.098145
1936.132813	3179.512939
1934.583984	3215.971436
1933.035156	3200.762939
1931.486328	3251.725098
1929.935547	3192.953125
1928.386719	3187.4375
1926.835938	3194.825928
1925.285156	3200.598633
1923.734375	3048.388184
1922.183594	3176.679199
1920.632813	3171.172607
1919.080078	3218.831787
1917.527344	3190.768799
1915.976563	3151.444824
1914.423828	3139.507813
1912.869141	3183.913818
1911.316406	3171.974609
1909.761719	3137.514648
1908.208984	3101.460693
1906.654297	3219.818604
1905.099609	3170.898438
1903.544922	3191.126709
1901.988281	3184.022461
1900.433594	3178.528076
1898.876953	3129.657715
1897.320313	3137.0271
1895.763672	3094.609619
1894.207031	3095.560791
1892.648438	3083.669434
1891.091797	3174.496826
1889.533203	3000.532715
1887.974609	3157.112305
1886.416016	3145.217529
1884.857422	3120.499512
1883.298828	3063.727539
1881.738281	3127.19458
1880.177734	3107.303223
1878.617188	3034.547852
1877.056641	3062.739746
1875.496094	3204.627197
1873.935547	3125.492432
1872.373047	3065.60083
1870.810547	3149.779541
1869.248047	3083.507324
