#Wave	#Intensity
2109.007813	8322.522461
2107.496094	8301.021484
2105.984375	8401.74707
2104.470703	8469.365234
2102.958984	8127.047852
2101.445313	8270.710938
2099.933594	8189.621582
2098.419922	8430.664063
2096.90625	8359.483398
2095.390625	8296.589844
2093.876953	8298.100586
2092.361328	8362.324219
2090.845703	8368.770508
2089.332031	8307.579102
2087.814453	8177.143555
2086.298828	8205.061523
2084.783203	8191.753418
2083.265625	8097.688477
2081.748047	8341.475586
2080.230469	8222.706055
2078.712891	8159.991699
2077.195313	8276.804688
2075.677734	8172.943848
2074.158203	8200.81543
2072.638672	8077.26709
2071.119141	8179.188965
2069.599609	8177.430664
2068.080078	8152.647461
2066.560547	8091.700195
2065.039063	8159.008301
2063.517578	8168.76123
2061.996094	8160.434082
2060.474609	8258.899414
2058.953125	8191.424316
2057.429688	8176.528809
2055.908203	8089.398438
2054.384766	8105.719238
2052.861328	8099.057617
2051.337891	8064.504883
2049.814453	8187.449707
2048.289063	8144.692871
2046.765625	8090.475586
2045.240234	8151.039063
2043.714844	8065.702148
2042.189453	8121.329102
2040.664063	8108.12207
2039.136719	8017.935059
2037.609375	8065.347656
2036.083984	8150.397949
2034.556641	8037.342773
2033.029297	8117.452637
2031.5	8084.628418
2029.972656	8100.894531
2028.443359	8153.135254
2026.914063	8138.311035
2025.386719	7955.10498
2023.855469	8116.854004
2022.326172	7974.584473
2020.796875	7981.049805
2019.265625	7998.946777
2017.734375	8049.498047
2016.203125	7871.443359
2014.671875	7907.308594
2013.140625	7856.659668
2011.607422	8008.362793
2010.076172	7938.137695
2008.542969	7982.112793
2007.009766	8070.09668
2005.476563	7862.95752
2003.943359	7897.140137
2002.408203	8033.973633
2000.875	7893.774414
1999.339844	7893.721191
1997.804688	8041.867676
1996.269531	7916.410156
1994.732422	7885.422363
1993.197266	7790.974121
1991.660156	7979.695313
1990.123047	8051.204102
1988.585938	7968.166016
1987.048828	7899.79834
1985.511719	7876.981934
1983.972656	7951.702148
1982.435547	7794.000977
1980.896484	7818.339355
1979.357422	7953.126953
1977.818359	7844.247559
1976.279297	7821.471191
1974.738281	7887.990723
1973.197266	7814.900391
1971.658203	7912.223633
1970.117188	7819.691406
1968.576172	7766.125977
1967.033203	7800.152344
1965.492188	7911.987305
1963.949219	7733.621582
1962.40625	7872.973145
1960.863281	7787.047363
1959.320313	7740.036133
1957.777344	7704.381348
1956.232422	7714.081055
1954.689453	7657.401367
1953.144531	7722.137207
1951.599609	7783.608887
1950.054688	7699.446289
1948.507813	7904.856445
1946.962891	7749.547363
1945.416016	7715.566895
1943.869141	7869.114258
1942.322266	7806.031738
1940.775391	7704.196289
1939.228516	7736.488281
1937.679688	7773.611328
1936.132813	7560.426758
1934.583984	7634.703125
1933.035156	7670.209473
1931.486328	7744.431152
1929.935547	7594.355957
1928.386719	7562.098633
1926.835938	7549.20752
1925.285156	7615.329102
