#Wave	#Intensity
2109.007813	2375.02832
2107.496094	2406.452637
2105.984375	2396.010986
2104.470703	2436.822998
2102.958984	2338.77832
2101.445313	2311.833008
2099.933594	2426.98291
2098.419922	2416.548096
2096.90625	2396.209229
2095.390625	2398.994141
2093.876953	2449.648193
2092.361328	2378.154541
2090.845703	2374.341553
2089.332031	2466.209229
2087.814453	2368.369873
2086.298828	2364.561523
2084.783203	2494.289063
2083.265625	2355.301514
2081.748047	2346.554932
2080.230469	2403.712402
2078.712891	2426.255127
2077.195313	2321.984619
2075.677734	2403.807129
2074.158203	2426.335205
2072.638672	2480.122559
2071.119141	2413.773926
2069.599609	2418.190186
2068.080078	2399.578857
2066.560547	2454.970215
2065.039063	2469.238525
2063.517578	2432.548584
2061.996094	2400.804199
2060.474609	2405.217529
2058.953125	2409.628906
2057.429688	2433.744873
2055.908203	2502.18042
2054.384766	2406.436768
2052.861328	2438.743652
2051.337891	2430.016602
2049.814453	2437.697998
2048.289063	2443.73584
2046.765625	2369.423828
2045.240234	2437.770508
2043.714844	2438.887451
2042.189453	2397.397949
2040.664063	2414.90625
2039.136719	2424.217285
2037.609375	2407.322021
2036.083984	2459.199951
2034.556641	2393.196533
2033.029297	2440.145508
2031.5	2339.813477
2029.972656	2411.291992
2028.443359	2381.336914
2026.914063	2402.085449
2025.386719	2453.886719
2023.855469	2505.666016
2022.326172	2385.838867
2020.796875	2494.792969
2019.265625	2407.687988
2017.734375	2462.698975
2016.203125	2424.620117
2014.671875	2443.691406
2013.140625	2423.585449
2011.607422	2390.434326
2010.076172	2447.021484
2008.542969	2395.938721
2007.009766	2480.22168
2005.476563	2469.910889
2003.943359	2418.855713
2002.408203	2389.007324
2000.875	2437.375977
1999.339844	2471.063721
1997.804688	2447.737305
1996.269531	2421.164551
1994.732422	2399.486328
1993.197266	2491.744629
1991.660156	2437.51709
1990.123047	2518.339844
1988.585938	2465.756104
1987.048828	2432.708496
1985.511719	2394.797607
1983.972656	2395.913574
1982.435547	2411.655029
1980.896484	2432.263916
1979.357422	2459.361572
1977.818359	2369.514893
1976.279297	2433.959961
1974.738281	2360.390625
1973.197266	2491.354492
1971.658203	2511.920166
1970.117188	2555.189453
1968.576172	2407.044922
1967.033203	2400.046875
1965.492188	2490.330322
1963.949219	2423.342041
1962.40625	2492.513916
1960.863281	2396.388428
1959.320313	2518.994629
1957.777344	2468.252441
1956.232422	2438.582275
1954.689453	2457.491455
1953.144531	2460.207031
1951.599609	2467.776123
1950.054688	2488.284912
1948.507813	2562.16333
1946.962891	2417.69043
1945.416016	2502.870361
1943.869141	2520.121094
1942.322266	2496.960449
1940.775391	2512.589355
1939.228516	2544.365967
1937.679688	2475.991211
1936.132813	2519.065674
1934.583984	2483.01416
1933.035156	2537.367432
1931.486328	2523.919678
1929.935547	2534.678711
1928.386719	2479.297119
1926.835938	2480.384766
1925.285156	2475.022217
1923.734375	2514.799316
1922.183594	2499.76123
1920.632813	2525.013916
1919.080078	2556.699707
1917.527344	2488.509766
1915.976563	2433.231201
1914.423828	2567.956299
1912.869141	2554.5354
1911.316406	2571.697266
1909.761719	2468.178223
1908.208984	2528.784424
1906.654297	2566.848389
1905.099609	2490.731201
1903.544922	2581.838623
1901.988281	2446.280762
1900.433594	2482.7229
1898.876953	2544.855225
1897.320313	2571.623291
1895.763672	2503.630859
1894.207031	2525.579346
1892.648438	2560.360596
1891.091797	2527.721191
1889.533203	2575.323486
1887.974609	2507.401611
1886.416016	2542.156982
1884.857422	2543.223145
1883.298828	2470.541016
1881.738281	2511.693359
1880.177734	2506.35498
1878.617188	2603.558838
1877.056641	2542.138184
1875.496094	2538.397705
1873.935547	2547.468262
1872.373047	2543.728271
1870.810547	2573.600342
1869.248047	2496.248779
1867.685547	2527.717773
1866.123047	2571.969238
1864.560547	2537.84375
1862.996094	2578.876465
1861.431641	2551.157715
1859.867188	2545.824219
1858.302734	2506.939453
1856.738281	2618.231934
1855.171875	2507.477539
1853.607422	2589.980469
1852.041016	2568.679688
1850.474609	2501.100586
1848.908203	2575.573486
1847.341797	2500.044189
1845.773438	2505.896484
1844.207031	2538.857178
1842.638672	2543.104248
1841.070313	2566.478516
1839.501953	2535.655273
1837.931641	2531.932861
1836.363281	2552.108154
1834.792969	2572.274902
1833.222656	2535.106201
1831.652344	2478.848633
1830.082031	2522.893555
1828.511719	2549.414551
1826.941406	2601.381104
1825.369141	2570.608154
1823.796875	2649.584473
1822.224609	2585.423096
1820.652344	2524.468018
1819.078125	2568.4375
1817.505859	2559.949951
1815.931641	2619.780273
1814.357422	2544.573486
1812.783203	2491.630859
1811.208984	2570.48999
1809.634766	2557.248047
1808.058594	2621.776367
1806.484375	2581.55542
1804.908203	2612.737549
1803.332031	2569.363037
1801.753906	2600.53418
1800.177734	2587.302246
1798.601563	2613.701172
1797.023438	2659.105225
1795.445313	2558.729492
1793.867188	2643.726074
1792.289063	2659.004395
1790.708984	2631.525879
1789.130859	2610.391113
1787.550781	2687.391113
1785.970703	2572.894531
1784.390625	2602.40918
1782.810547	2639.819824
1781.228516	2629.77417
1779.646484	2616.570557
1778.066406	2660.276855
1776.484375	2656.554199
1774.902344	2621.232666
1773.318359	2612.780762
