#Wave	#Intensity
2109.007813	10988.640625
2107.496094	11028.334961
2105.984375	10839.09668
2104.470703	10866.511719
2102.958984	10905.483398
2101.445313	10891.55957
2099.933594	10712.428711
2098.419922	10767.926758
2096.90625	10706.150391
2095.390625	10680.724609
2093.876953	10694.926758
2092.361328	10842.800781
2090.845703	10710.112305
2089.332031	10593.977539
2087.814453	10601.588867
2086.298828	10544.889648
2084.783203	10646.476563
2083.265625	10528.807617
2081.748047	10633.651367
2080.230469	10600.058594
2078.712891	10558.245117
2077.195313	10486.806641
2075.677734	10477.964844
2074.158203	10447.726563
2072.638672	10412.56543
2071.119141	10441.587891
2069.599609	10593.975586
2068.080078	10553.871094
2066.560547	10522.005859
2065.039063	10360.280273
2063.517578	10413.9375
2061.996094	10437.994141
2060.474609	10508.041016
2058.953125	10351.384766
2057.429688	10365.584961
2055.908203	10397.839844
2054.384766	10274.138672
2052.861328	10296.552734
2051.337891	10565.076172
2049.814453	10393.845703
2048.289063	10347.334961
2046.765625	10576.321289
2045.240234	10362.574219
2043.714844	10445.584961
2042.189453	10553.139648
2040.664063	10169.147461
2039.136719	10335.683594
2037.609375	10474.307617
2036.083984	10345.995117
2034.556641	10428.902344
2033.029297	10395.576172
2031.5	10179.006836
2029.972656	10451.65918
2028.443359	10210.636719
2026.914063	10363.796875
2025.386719	10268.396484
2023.855469	10311.967773
2022.326172	10317.935547
2020.796875	10274.886719
2019.265625	10339.664063
2017.734375	10224.773438
2016.203125	10204.629883
2014.671875	10365.691406
2013.140625	10268.821289
2011.607422	10140.989258
2010.076172	10368.845703
2008.542969	10457.970703
2007.009766	10348.117188
2005.476563	10269.286133
2003.943359	10410.533203
2002.408203	10305.649414
2000.875	10551.100586
1999.339844	10288.225586
1997.804688	10414.691406
1996.269531	10249.650391
1994.732422	10263.746094
1993.197266	10391.762695
1991.660156	10306.564453
1990.123047	10494.709961
1988.585938	10368.862305
1987.048828	10470.729492
1985.511719	10388.836914
1983.972656	10365.496094
1982.435547	10379.541992
1980.896484	10312.34375
1979.357422	10418.986328
1977.818359	10517.462891
1976.279297	10344.736328
1974.738281	10280.848633
1973.197266	10345.208008
1971.658203	10368.972656
1970.117188	10292.141602
1968.576172	10421.335938
1967.033203	10289.390625
1965.492188	10425.015625
1963.949219	10424.422852
1962.40625	10324.97168
1960.863281	10465.363281
1959.320313	10343.266602
1957.777344	10290.864258
1956.232422	10393.930664
1954.689453	10382.011719
1953.144531	10248.705078
1951.599609	10371.132813
1950.054688	10498.362305
1948.507813	10462.166992
1946.962891	10282.057617
1945.416016	10388.205078
1943.869141	10413.483398
1942.322266	10272.285156
1940.775391	10375.135742
1939.228516	10419.78418
1937.679688	10412.730469
1936.132813	10284.570313
1934.583984	10301.763672
1933.035156	10373.829102
1931.486328	10444.25
1929.935547	10474.305664
1928.386719	10389.820313
1926.835938	10373.104492
1925.285156	10572.456055
1923.734375	10629.863281
1922.183594	10576.037109
1920.632813	10530.291016
1919.080078	10416.900391
1917.527344	10463.015625
1915.976563	10360.958984
1914.423828	10410.286133
1912.869141	10364.621094
1911.316406	10603.826172
1909.761719	10488.953125
1908.208984	10477.082031
1906.654297	10458.78125
1905.099609	10456.568359
1903.544922	10464.001953
1901.988281	10402.318359
1900.433594	10453.147461
1898.876953	10399.525391
1897.320313	10236.699219
1895.763672	10520.387695
1894.207031	10433.067383
1892.648438	10397.150391
1891.091797	10367.668945
1889.533203	10354.245117
1887.974609	10550.979492
1886.416016	10534.313477
1884.857422	10657.163086
1883.298828	10478.557617
1881.738281	10466.724609
1880.177734	10477.333008
1878.617188	10545.614258
1877.056641	10487.321289
1875.496094	10424.24707
1873.935547	10433.251953
1872.373047	10395.829102
1870.810547	10542.478516
1869.248047	10423.438477
1867.685547	10549.22168
1866.123047	10467.018555
1864.560547	10544.764648
1862.996094	10480.183594
1861.431641	10433.211914
1859.867188	10547.671875
1858.302734	10486.325195
1856.738281	10575.165039
1855.171875	10539.391602
1853.607422	10591.455078
1852.041016	10566.868164
1850.474609	10716.266602
1848.908203	10559.212891
1847.341797	10572.9375
1845.773438	10532.421875
1844.207031	10413.779297
1842.638672	10660.310547
1841.070313	10481.115234
1839.501953	10644.651367
