#Wave	#Intensity
2109.007813	9280.141602
2107.496094	9058.516602
2105.984375	9135.928711
2104.470703	9198.427734
2102.958984	8996.445313
2101.445313	9049.033203
2099.933594	9085.077148
2098.419922	8979.053711
2096.90625	8973.811523
2095.390625	8983.431641
2093.876953	8928.670898
2092.361328	9045.569336
2090.845703	8753.21875
2089.332031	8845.360352
2087.814453	8868.193359
2086.298828	8923.994141
2084.783203	8706.107422
2083.265625	8630.0625
2081.748047	8647.977539
2080.230469	8743.318359
2078.712891	8558.602539
2077.195313	8601.223633
2075.677734	8642.180664
2074.158203	8534.97168
2072.638672	8557.821289
2071.119141	8592.179688
2069.599609	8626.523438
2068.080078	8644.405273
2066.560547	8522.511719
2065.039063	8292.169922
2063.517578	8458.037109
2061.996094	8582.751953
2060.474609	8428.119141
2058.953125	8403.314453
2057.429688	8316.116211
2055.908203	8439.112305
2054.384766	8338.8125
2052.861328	8346.871094
2051.337891	8386.100586
2049.814453	8325.24707
2048.289063	8402.1875
2046.765625	8324.958984
2045.240234	8447.768555
2043.714844	8291.889648
2042.189453	8422.847656
2040.664063	8293.253906
2039.136719	8296.392578
2037.609375	8456.742188
2036.083984	8387.803711
2034.556641	8449.849609
2033.029297	8340.02832
2031.5	8367.696289
2029.972656	8343.004883
2028.443359	8382.109375
2026.914063	8363.966797
2025.386719	8177.442871
2023.855469	8373.467773
2022.326172	8286.704102
2020.796875	8293.103516
2019.265625	8317.467773
2017.734375	8314.058594
2016.203125	8243.708008
2014.671875	8212.566406
2013.140625	8329.952148
2011.607422	8320.016602
2010.076172	8311.716797
2008.542969	8124.009766
2007.009766	8161.413086
2005.476563	8203.691406
2003.943359	8228.021484
2002.408203	8372.932617
2000.875	8319.011719
1999.339844	8212.988281
1997.804688	8320.352539
1996.269531	8373.94043
1994.732422	8228.90332
1993.197266	8323.175781
1991.660156	8163.566895
1990.123047	8171.589844
1988.585938	8228.404297
1987.048828	8290.072266
1985.511719	8161.496582
1983.972656	8284.919922
1982.435547	8283.157227
1980.896484	8187.15918
1979.357422	8248.770508
1977.818359	8198.293945
1976.279297	8313.458984
1974.738281	8168.834961
1973.197266	8326.155273
1971.658203	8227.025391
1970.117188	8311.260742
1968.576172	8257.59082
1967.033203	8171.510742
1965.492188	8234.62793
1963.949219	8208.564453
1962.40625	8367.262695
1960.863281	8294.193359
1959.320313	8342.650391
1957.777344	8264.758789
1956.232422	8334.251953
1954.689453	8327.625977
1953.144531	8348.518555
1951.599609	8340.274414
1950.054688	8336.886719
1948.507813	8372.321289
1946.962891	8315.561523
1945.416016	8176.366699
1943.869141	8200.496094
1942.322266	8208.455078
1940.775391	8188.94043
1939.228516	8056.351074
1937.679688	8132.169434
1936.132813	8280.621094
1934.583984	8275.637695
1933.035156	8299.708984
1931.486328	8289.881836
1929.935547	8162.278809
1928.386719	8121.835938
1926.835938	8171.722656
1925.285156	8179.666016
1923.734375	8142.46875
1922.183594	8242.282227
1920.632813	8246.982422
1919.080078	8113.131836
1917.527344	8167.788086
1915.976563	8083.931152
1914.423828	8291.520508
1912.869141	8143.286133
1911.316406	8162.483887
1909.761719	8239.59668
1908.208984	8167.072266
1906.654297	8234.500977
1905.099609	8121.80957
1903.544922	8235.839844
1901.988281	8094.26416
1900.433594	8209.858398
1898.876953	8153.497559
1897.320313	8228.873047
1895.763672	8214.285156
